# Traditional → Simplified Chinese codepoint mapping
# Generated by build_trad_simp_mapping.py from Unihan_Variants.txt
# Format: TRAD_HEX<TAB>SIMP_HEX
0x5131	0x2B892
0x5132	0x50A8
0x5137	0x4FEA
0x5138	0x3469
0x5139	0x300C6
0x513A	0x50A9
0x513B	0x50A5
0x513C	0x4FE8
0x513F	0x513F
0x514B	0x514B
0x514C	0x5151
0x5151	0x5151
0x5152	0x513F
0x5157	0x5156
0x515A	0x515A
0x5167	0x5185
0x5169	0x4E24
0x5185	0x5185
0x518A	0x518C
0x518C	0x518C
0x51AA	0x5E42
0x51AC	0x51AC
0x51B2	0x51B2
0x51B5	0x51B5
0x51C6	0x51C6
0x51C8	0x51C0
0x51C9	0x51C9
0x51CD	0x51BB
0x51CF	0x51CF
0x51D1	0x51D1
0x51D4	0x300F7
0x51D9	0x2A79D
0x51DC	0x51DB
0x51DF	0x300FF
0x51E0	0x51E0
0x51E4	0x51E4
0x51ED	0x51ED
0x51F1	0x51EF
0x51F4	0x2EC09
0x51FA	0x51FA
0x5212	0x5212
0x5218	0x5218
0x5220	0x5220
0x5225	0x522B
0x522A	0x5220
0x522B	0x522B
0x522E	0x522E
0x5236	0x5236
0x5239	0x5239
0x523E	0x523E
0x5244	0x522D
0x5247	0x5219
0x524B	0x514B
0x524E	0x5239
0x5257	0x522C
0x525B	0x521A
0x525D	0x5265
0x5267	0x5267
0x526E	0x5250
0x5274	0x5240
0x5275	0x521B
0x5278	0x3011E
0x527E	0x206C5
0x5283	0x5212
0x5287	0x5267
0x5289	0x5218
0x528A	0x523D
0x528C	0x523F
0x528D	0x5251
0x528F	0x34E5
0x5291	0x5242
0x5297	0x2D11B
0x529A	0x3509
0x529D	0x529D
0x529E	0x529E
0x52A8	0x52A8
0x52B1	0x52B1
0x52B3	0x52B3
0x52BF	0x52BF
0x52C1	0x52B2
0x52D1	0x20860
0x52D5	0x52A8
0x52D9	0x52A1
0x52DB	0x52CB
0x52DD	0x80DC
0x52DE	0x52B3
0x52E2	0x52BF
0x52E3	0x2A7DD
0x52E9	0x52DA
0x52F1	0x52A2
0x52F4	0x30154
0x52F5	0x52B1
0x52F8	0x529D
0x52FB	0x5300
0x5300	0x5300
0x532D	0x5326
0x532F	0x6C47
0x5330	0x30166
0x5331	0x532E
0x5335	0x30165
0x533A	0x533A
0x533B	0x533B
0x5340	0x533A
0x5343	0x5343
0x5354	0x534F
0x5355	0x5355
0x535C	0x535C
0x5368	0x2B9EF
0x5374	0x5374
0x5377	0x5377
0x537B	0x5374
0x5382	0x5382
0x5386	0x5386
0x5389	0x5389
0x538B	0x538B
0x5398	0x5398
0x5399	0x538D
0x53A0	0x5395
0x53A6	0x53A6
0x53A8	0x53A8
0x53A9	0x53A9
0x53AD	0x538C
0x53AE	0x53AE
0x53B1	0x3019A
0x53B2	0x5389
0x53B4	0x53A3
0x53C2	0x53C2
0x53C3	0x53C2
0x53C4	0x53C1
0x53CC	0x53CC
0x53D9	0x53D9
0x53E0	0x53E0
